#	MODELO	DE	CAPTURA	A	LA	EDAD	M3A															
#numero	de	años.																				
40																						
#numero	de	edades.																				
23																						
#edad	minima.																					
2																						
##Año	Captura	cv	CPUE	cv	Bcru	cv	nm_flo	nm_cru														
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1594	11402	3700	8707	10861	10710	22352	13367	20022	16837	29502	25028	21943	20816	9023	9141	3963	3768	2386	0	0	0	0
1199	1530	15092	5043	11748	5849	7071	8995	11100	16036	12931	20430	15803	19057	16322	12630	6985	4473	4021	0	0	0	0
100	2251	3017	18144	4347	9067	7545	5344	13918	6819	20823	9224	18107	17420	10956	14408	7437	4581	4793	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
365	645	3212	5195	7206	19333	9176	9760	5702	6901	11697	9582	17718	13282	23506	16094	9303	5268	10698	0	0	0	0
403	1510	4093	14663	11833	6990	29466	10925	11423	3287	6006	7763	4249	9528	8250	5464	5691	4467	7260	0	0	0	0
262	1414	4270	6469	3688	4895	5338	10299	2813	6334	2128	2581	5506	6235	6759	3570	11971	7565	10169	0	0	0	0
1236	4471	13568	7753	5553	7504	5562	6183	12270	3972	5719	2620	3580	5413	4132	4572	3947	5842	5384	4755	2631	913	216
6679152	12036094	11876614	33422970	19322978	8760585	8531399	11112221	5223757	11090596	5779027	7615809	6519111	4185313	3963307	4112628	2373119	3483015	3287662	2740587	1665276	306393	141710
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1359088	7430736	5063869	10811388	7220838	5998136	6807421	8717743	5893447	9538454	4348540	5422019	4306917	2766674	2677984	2869653	1587326	2834008	2597296	2618962	1914800	360637	413153
1256202	3783434	26519241	15486391	9293562	8373952	13845752	9245137	9161983	6837229	4964949	3444134	4384263	2433325	2853876	1294889	1032890	1358011	1491208	561373	623962	360163	72984
1226599	3046946	6148445	34482093	22864644	9952225	4235663	4797627	2957591	2545121	3424829	2610703	1364672	1591352	1192256	1294582	741273	718914	677901	514944	492650	364345	132836
375629	600579	17707700	4022463	17712075	11335005	4367635	2034458	3632774	2029092	1295446	998120	1111596	1773500	989377	818189	424191	256924	553725	273791	172066	113222	47024
6340175	24320590	15299341	46993100	14771175	27562167	9952617	5083723	2599364	2495334	1937104	1103229	1577835	722277	338867	826516	186049	489430	675062	97278	255349	161684	68039
2868767	11072067	25173372	7508670	23920176	8338247	30865621	13086168	6096068	4536722	6460452	3524483	1433477	2429598	1668697	1334960	1204704	784529	728798	528270	170207	611371	99693
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	Wm																					
#2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
0.18	0.24	0.29	0.42	0.47	0.53	0.62	0.7	0.76	0.82	0.86	0.92	0.96	1.03	1.08	1.07	1.17	1.19	1.24	1.23	1.41	1.4	1.67
0.18	0.24	0.29	0.42	0.47	0.53	0.62	0.7	0.76	0.82	0.86	0.92	0.96	1.03	1.08	1.07	1.17	1.19	1.24	1.23	1.41	1.4	1.67
0.18	0.24	0.29	0.42	0.47	0.53	0.62	0.7	0.76	0.82	0.86	0.92	0.96	1.03	1.08	1.07	1.17	1.19	1.24	1.23	1.41	1.4	1.67
0.18	0.24	0.29	0.42	0.47	0.53	0.62	0.7	0.76	0.82	0.86	0.92	0.96	1.03	1.08	1.07	1.17	1.19	1.24	1.23	1.41	1.4	1.67
0.18	0.24	0.29	0.42	0.47	0.53	0.62	0.7	0.76	0.82	0.86	0.92	0.96	1.03	1.08	1.07	1.17	1.19	1.24	1.23	1.41	1.4	1.67
0.18	0.24	0.29	0.42	0.47	0.53	0.62	0.7	0.76	0.82	0.86	0.92	0.96	1.03	1.08	1.07	1.17	1.19	1.24	1.23	1.41	1.4	1.67
0.18	0.24	0.29	0.42	0.47	0.53	0.62	0.7	0.76	0.82	0.86	0.92	0.96	1.03	1.08	1.07	1.17	1.19	1.24	1.23	1.41	1.4	1.67
0.18	0.24	0.29	0.42	0.47	0.53	0.62	0.7	0.76	0.82	0.86	0.92	0.96	1.03	1.08	1.07	1.17	1.19	1.24	1.23	1.41	1.4	1.67
0.18	0.24	0.29	0.42	0.47	0.53	0.62	0.7	0.76	0.82	0.86	0.92	0.96	1.03	1.08	1.07	1.17	1.19	1.24	1.23	1.41	1.4	1.67
0.18	0.24	0.29	0.42	0.47	0.53	0.62	0.7	0.76	0.82	0.86	0.92	0.96	1.03	1.08	1.07	1.17	1.19	1.24	1.23	1.41	1.4	1.67
