Zona,(All),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,1,2,3,4,5,6,7,8,9,10,11,12,Grand Total,,,,,,,,,,,,,
Sum of Total,,,,,,,,,,,,,,,,,,,,,,,,,,
,64%,50%,59%,64%,62%,60%,84%,78%,67%,72%,52%,91%,60%,,,,,,,,,,,,,
,61%,60%,52%,53%,52%,43%,47%,58%,43%,48%,55%,58%,52%,,,,,,,,,,,,,
,64%,53%,48%,43%,39%,36%,46%,12%,40%,26%,25%,58%,46%,,,,,,,,,,,,,
,74%,70%,43%,49%,50%,78%,63%,67%,74%,89%,89%,84%,60%,,,,,,,,,,,,,
,86%,75%,50%,44%,92%,28%,57%,100%,81%,69%,55%,65%,66%,,,,,,,,,,,,,
,85%,54%,45%,44%,36%,54%,90%,75%,45%,51%,21%,50%,55%,,,,,,,,,,,,,
,61%,47%,39%,55%,41%,74%,55%,53%,44%,52%,37%,43%,48%,,,,,,,,,,,,,
,80%,48%,46%,51%,53%,39%,45%,47%,51%,32%,29%,33%,47%,,,,,,,,,,,,,
,68%,40%,26%,27%,51%,30%,26%,46%,41%,41%,47%,47%,35%,,,,,,,,,,,,,
,70%,74%,64%,41%,47%,36%,33%,68%,31%,34%,39%,33%,51%,,,,,,,,,,,,,
,90%,66%,36%,15%,16%,18%,40%,36%,31%,43%,48%,73%,33%,,,,,,,,,,,,,
,96%,87%,81%,65%,46%,43%,65%,92%,62%,65%,62%,66%,67%,,,,,,,,,,,,,
,96%,93%,85%,51%,36%,54%,59%,63%,84%,63%,53%,72%,66%,,,,,,,,,,,,,
,77%,97%,91%,68%,71%,83%,96%,91%,86%,89%,93%,97%,80%,,,,,,,,,,,,,
,100%,100%,93%,78%,79%,93%,95%,99%,99%,93%,96%,93%,88%,,,,,,,,,,,,,
,85%,100%,98%,85%,80%,85%,95%,99%,97%,84%,93%,98%,91%,,,,,,,,,,,,,
,83%,98%,76%,75%,85%,78%,98%,100%,100%,93%,94%,88%,85%,,,,,,,,,,,,,
,92%,96%,95%,81%,85%,97%,95%,28%,50%,93%,94%,94%,91%,,,,,,,,,,,,,
,48%,99%,97%,74%,80%,89%,94%,99%,38%,95%,86%,88%,86%,,,,,,,,,,,,,
,48%,100%,96%,63%,83%,89%,94%,99%,38%,95%,79%,88%,84%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
M,(All),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,IX,V,VI,VII,VIII,XIV,Grand Total,,,,,,,,,,,,,,,,,,,
Sum of Total,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,,,,,738810,,738810,,,,,,,,,,,,,,,,,,,
1992,,,,,634475,,634475,,,,,,,,,,,,,,,,,,,
1993,,,,,369882,,369882,,,,,,,,,,,,,,,,,,,
1994,,,,,749151,,749151,,,,,,,,,,,,,,,,,,,
1995,,,,,433631,,433631,,,,,,,,,,,,,,,,,,,
1996,,,,,958360,,958360,,,,,,,,,,,,,,,,,,,
1997,,,,,733257,,733257,,,,,,,,,,,,,,,,,,,
1998,0,13564,0,0,561306,,574870,,,,,,,,,,,,,,,,,,,
1999,0,,0,0,1632843,,1632843,,,,,,,,,,,,,,,,,,,
2000,0,30895,0,0,1060640,,1091535,,,,,,,,,,,,,,,,,,,
2001,2,3156,0,0,421376,,424534,,,,,,,,,,,,,,,,,,,
2002,0,2359,0,0,524661,,527020,,,,,,,,,,,,,,,,,,,
2003,0,2919,0,0,535403,,538322,,,,,,,,,,,,,,,,,,,
2004,26,10289,0,1,610209,,620525,,,,,,,,,,,,,,,,,,,
2005,14,19904,0,1,586098,,606017,,,,,,,,,,,,,,,,,,,
2006,15,22347,0,0,691395,,713757,,,,,,,,,,,,,,,,,,,
2007,63,17170,0,0,706225,110470,833928,,,,,,,,,,,,,,,,,,,
2008,23,12274,0,14,1028392,118574,1159277,,,,,,,,,,,,,,,,,,,
2009,30,5927,0,80,1108928,149598,1264563,,,,,,,,,,,,,,,,,,,
2010,12772.517,8706.668,0,1146.526,513398.199,115302.932,651326.842,,,,,,,,,,,,,,,,,,,
2011,8166.035,15875.969,0,4172.973,660430.966,77142.27,765788.213,,,,,,,,,,,,,,,,,,,
2012,12448.277,12140.101,0,4335.888,543942.894,112941.357,685808.517,,,,,,,,,,,,,,,,,,,
2013,1,9649,0,3,203376,62234,275263,,,,,,,,,,,,,,,,,,,
2014,,,,,587886,,587886,,,,,,,,,,,,,,,,,,,
2015,,,,,868345,,868345,,,,,,,,,,,,,,,,,,,
2016,,,,,357574,,357574,,,,,,,,,,,,,,,,,,,
Sum of sardina,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,,,,,468793,,468793,,,,,,,,,,,,,,,,,,,
1992,,,,,372237,,372237,,,,,,,,,,,,,,,,,,,
1993,,,,,163956,,163956,,,,,,,,,,,,,,,,,,,
1994,,,,,274809,,274809,,,,,,,,,,,,,,,,,,,
1995,,,,,177188,,177188,,,,,,,,,,,,,,,,,,,
1996,,,,,597532,,597532,,,,,,,,,,,,,,,,,,,
1997,,,,,441149,,441149,,,,,,,,,,,,,,,,,,,
1998,0,551,0,0,299613,,300164,,,,,,,,,,,,,,,,,,,
1999,0,,0,0,748056,,748056,,,,,,,,,,,,,,,,,,,
2000,0,6570,0,0,649507,,656077,,,,,,,,,,,,,,,,,,,
2001,2,747,0,0,277454,,278203,,,,,,,,,,,,,,,,,,,
2002,0,405,0,0,291001,,291406,,,,,,,,,,,,,,,,,,,
2003,0,85,0,0,256836,,256921,,,,,,,,,,,,,,,,,,,
2004,25,2764,0,1,290949,,293739,,,,,,,,,,,,,,,,,,,
2005,13,1713,0,1,212553,,214280,,,,,,,,,,,,,,,,,,,
2006,12,4714,0,0,356301,,361027,,,,,,,,,,,,,,,,,,,
2007,57,2052,0,0,209069,65052,276230,,,,,,,,,,,,,,,,,,,
2008,16,2067,0,9,691182,87285,780559,,,,,,,,,,,,,,,,,,,
2009,17,2899,0,71,713019,120634,836640,,,,,,,,,,,,,,,,,,,
2010,12559,3285,0,876,392017,112994,521731,,,,,,,,,,,,,,,,,,,
2011,8098,13383,0,3467,576266,76482,677696,,,,,,,,,,,,,,,,,,,
2012,12277,9724,0,3605,488529,112026,626161,,,,,,,,,,,,,,,,,,,
2013,1,5199,0,3,168936,58572,232711,,,,,,,,,,,,,,,,,,,
2014,,,,,534171,,534171,,,,,,,,,,,,,,,,,,,
2015,,,,,744795,,744795,,,,,,,,,,,,,,,,,,,
2016,,,,,299239,,299239,,,,,,,,,,,,,,,,,,,
Total Sum of Total," 33,561 "," 187,176 ", -   ," 9,754 "," 17,819,995 "," 746,263 "," 18,796,749 ",,,,,,,,,,,,,,,,,,,
Total Sum of sardina,33077,56158,0,8033,10695157,633045,11425470,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.985583521,0.300028201,#DIV/0!,0.823526891,0.600177327,0.848287231,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,1,2,3,4,5,6,7,8,9,10,11,12,Grand Total,,,,,,,,,,,,,
Sum of Total,,,,,,,,,,,,,,,,,,,,,,,,,,
VIII," 1,482,466 "," 2,733,640 "," 4,251,085 "," 3,172,507 "," 1,715,077 "," 601,033 "," 489,324 "," 203,605 "," 401,289 "," 1,125,158 "," 949,263 "," 695,548 "," 17,819,995 ",,,,,,,,,,,,,
XIV, 109 ," 79,296 "," 153,516 "," 106,547 "," 79,440 "," 47,805 "," 37,041 "," 24,047 "," 9,093 "," 66,465 "," 69,061 "," 73,842 "," 746,263 ",,,,,,,,,,,,,
Sum of sardina,,,,,,,,,,,,,,,,,,,,,,,,,,
VIII," 1,009,020 "," 1,638,953 "," 2,692,166 "," 1,731,833 "," 855,664 "," 313,253 "," 317,872 "," 132,022 "," 188,895 "," 669,820 "," 645,337 "," 500,322 "," 10,695,157 ",,,,,,,,,,,,,
XIV, 108 ," 66,920 "," 134,050 "," 95,048 "," 68,650 "," 39,478 "," 31,891 "," 19,312 "," 4,079 "," 49,962 "," 56,907 "," 66,640 "," 633,045 ",,,,,,,,,,,,,
Total Sum of Total," 1,482,575 "," 2,812,936 "," 4,404,601 "," 3,279,055 "," 1,794,517 "," 648,838 "," 526,365 "," 227,652 "," 410,382 "," 1,191,623 "," 1,018,324 "," 769,390 "," 18,566,258 ",,,,,,,,,,,,,
Total Sum of sardina,1009128,1705873,2826216,1826881,924314,352731,349763,151334,192974,719782,702244,566962,11328202,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,68%,60%,63%,55%,50%,52%,65%,65%,47%,60%,68%,72%,,,,,,,,,,,,,,
,99%,84%,87%,89%,86%,83%,86%,80%,45%,75%,82%,90%,,,,,,,,,,,,,,
